Data,Mes,Valor,Categoria,Sub-categoria,Banco,Pagamento,Naturefa financeira,Saldo,Saldo Cora,Saldo Assas
03/01/2025,jan.,"645,00",Receitas,Pix,Cora,Pix,Entrada,"7.571,85","6.553,84","1.018,01"
07/01/2025,jan.,"4.000,00",Custos Fixos,Transferencia,Cora,Pix,Saida,"3.571,85","2.553,84","1.018,01"
09/01/2025,jan.,"447,56",Receitas,Pix,Cora,Pix,Entrada,"8.019,41","3.001,40","5.018,01"
09/01/2025,jan.,"644,99",Receitas,Pix,Cora,Pix,Entrada,"8.664,40","3.646,39","5.018,01"
17/01/2025,jan.,"1.500,00",Receitas,Pix,Cora,Pix,Entrada,"10.891,48","5.146,39","5.745,09"
07/01/2025,jan.,"4.000,00",Receitas,Transferencia,Assas,Pix,Entrada,"7.571,85","2.553,84","5.018,01"
10/01/2025,jan.,"290,93",Custos Variaveis,Impostos,Assas,Pix,Saida,"8.373,47","3.646,39","4.727,08"
10/01/2025,jan.,"1,99",Custos Variaveis,Taxas/Tarifas,Assas,Pix,Saida,"8.371,48","3.646,39","4.725,09"
10/01/2025,jan.,"1.020,00",Receitas,Pix,Assas,Pix,Entrada,"9.391,48","3.646,39","5.745,09"
18/01/2025,jan.,"400,00",Custos Variaveis,Consultor,Assas,Pix,Saida,"10.491,48","5.146,39","5.345,09"
18/01/2025,jan.,"400,00",Custos Variaveis,Consultor,Assas,Pix,Saida,"10.091,48","5.146,39","4.945,09"
18/01/2025,jan.,"425,00",Custos Variaveis,Consultor,Assas,Pix,Saida,"9.666,48","5.146,39","4.520,09"
20/01/2025,jan.,"55,00",Custos Fixos,Despesas Administrativas,Assas,Pix,Saida,"9.611,48","5.146,39","4.465,09"
26/01/2025,jan.,"327,57",Custos Fixos,Legis,Assas,Pix,Saida,"9.283,91","5.146,39","4.137,52"
27/01/2025,jan.,"751,82",Receitas,Pix,Assas,Pix,Entrada,"10.035,73","5.146,39","4.889,34"
27/01/2025,jan.,"1,99",Custos Variaveis,Taxas/Tarifas,Assas,Pix,Saida,"10.033,74","5.146,39","4.887,35"
27/01/2025,jan.,"800,00",Custos Variaveis,Consultor,Assas,Pix,Saida,"9.233,74","5.146,39","4.087,35"
29/01/2025,jan.,"450,00",Receitas,Pix,Assas,Pix,Entrada,"9.683,74","5.146,39","4.537,35"
29/01/2025,jan.,"575,00",Custos Variaveis,Contador,Assas,Pix,Saida,"9.108,74","5.146,39","3.962,35"
29/01/2025,jan.,"477,40",Custos Variaveis,Consultor,Assas,Pix,Saida,"8.631,34","5.146,39","3.484,95"
29/01/2025,jan.,"1,99",Custos Variaveis,Taxas/Tarifas,Assas,Pix,Saida,"8.629,35","5.146,39","3.482,96"
31/01/2025,jan.,"100,00",Custos Fixos,PSEL,Assas,Pix,Saida,"8.529,35","5.146,39","3.382,96"
31/01/2025,jan.,"100,00",Custos Fixos,PSEL,Assas,Pix,Saida,"8.429,35","5.146,39","3.282,96"
,,,,,,,,,,
10/02/2025,fev.,"128,01",Custos Variaveis,Impostos,Cora,Pix,Saida,"8.261,44","5.018,38","3.243,06"
18/02/2025,fev.,"1.500,00",Receitas,Pix,Cora,Pix,Entrada,"11.435,71","6.518,38","4.917,33"
09/02/2025,fev.,"27,91",Custos Variaveis,Visita,Assas,Pix,Saida,"8.401,44","5.146,39","3.255,05"
09/02/2025,fev.,"11,99",Custos Variaveis,Visita,Assas,Pix,Saida,"8.389,45","5.146,39","3.243,06"
10/02/2025,fev.,"303,91",Custos Variaveis,Despesas Administrativas,Assas,Pix,Saida,"7.957,53","5.018,38","2.939,15"
10/02/2025,fev.,"1,20",Custos Variaveis,Taxas/Tarifas,Assas,Pix,Saida,"7.956,33","5.018,38","2.937,95"
10/02/2025,fev.,"447,56",Receitas,Pix,Assas,Pix,Entrada,"8.403,89","5.018,38","3.385,51"
11/02/2025,fev.,"1,99",Custos Variaveis,Taxas/Tarifas,Assas,Pix,Saida,"8.401,90","5.018,38","3.383,52"
11/02/2025,fev.,"33,00",Custos Fixos,Despesas Administrativas,Assas,Pix,Saida,"8.368,90","5.018,38","3.350,52"
11/02/2025,fev.,"79,90",Custos Fixos,ELN,Assas,Pix,Saida,"8.289,00","5.018,38","3.270,62"
11/02/2025,fev.,"79,90",Custos Fixos,ELN,Assas,Pix,Saida,"8.209,10","5.018,38","3.190,72"
11/02/2025,fev.,"79,90",Custos Fixos,ELN,Assas,Pix,Saida,"8.129,20","5.018,38","3.110,82"
11/02/2025,fev.,"79,90",Custos Fixos,ELN,Assas,Pix,Saida,"8.049,30","5.018,38","3.030,92"
11/02/2025,fev.,"79,90",Custos Fixos,ELN,Assas,Pix,Saida,"7.969,40","5.018,38","2.951,02"
11/02/2025,fev.,"79,90",Custos Fixos,ELN,Assas,Pix,Saida,"7.889,50","5.018,38","2.871,12"
12/02/2025,fev.,"59,86",Custos Fixos,Cartorio,Assas,Pix,Saida,"7.829,64","5.018,38","2.811,26"
12/02/2025,fev.,"447,56",Receitas,Pix,Assas,Pix,Entrada,"8.277,20","5.018,38","3.258,82"
12/02/2025,fev.,"1,99",Custos Variaveis,Taxas/Tarifas,Assas,Pix,Saida,"8.275,21","5.018,38","3.256,83"
13/02/2025,fev.,"1.020,00",Receitas,Pix,Assas,Pix,Entrada,"9.295,21","5.018,38","4.276,83"
13/02/2025,fev.,"1,99",Custos Variaveis,Taxas/Tarifas,Assas,Pix,Saida,"9.293,22","5.018,38","4.274,84"
14/02/2025,fev.,"450,00",Receitas,Pix,Assas,Pix,Entrada,"9.743,22","5.018,38","4.724,84"
